ebn0_db,trials,uncoded_errors,uncoded_rate,uncoded_ci_low,uncoded_ci_high,hard_errors,hard_rate,hard_ci_low,hard_ci_high,soft_errors,soft_rate,soft_ci_low,soft_ci_high
-2.0,30000,12921,0.4307,0.4251059034694433,0.43631184179805116,12554,0.41846666666666665,0.4128952555689683,0.42405895555382705,10133,0.33776666666666666,0.3324359215700456,0.34313895395515664
-1.0,30000,10524,0.3508,0.3454192557719056,0.35621894904642304,10368,0.3456,0.3402386676817283,0.3510008686718237,7833,0.2611,0.2561604980392247,0.26610067576170504
0.0,30000,8374,0.27913333333333334,0.27408586723378053,0.28423735553794544,7986,0.2662,0.2612288940405114,0.27123097383164163,5347,0.17823333333333333,0.17394393018424836,0.182605129492098
1.0,30000,6165,0.2055,0.2009654836717974,0.2101099273134424,5604,0.1868,0.18242983421077677,0.19125036517997743,3434,0.11446666666666666,0.11091320874091108,0.11811884597955112
2.0,30000,4312,0.14373333333333332,0.13980911979864408,0.1477487741017796,3729,0.1243,0.1206146636695708,0.12808153975030898,1923,0.0641,0.061383820670170175,0.06692779783056338
3.0,30000,2609,0.08696666666666666,0.08383066137738544,0.09020843511589201,2167,0.07223333333333333,0.06935839708214277,0.07521780542760058,865,0.028833333333333332,0.026999246578501845,0.030788069129066318
4.0,30000,1481,0.04936666666666667,0.04697245889160267,0.05187626562559677,1065,0.0355,0.03346487591672156,0.03765406602773986,329,0.010966666666666666,0.0098491901674368,0.012209367225257403
5.0,30000,741,0.0247,0.02300358648242796,0.02651812095826638,429,0.0143,0.01301736310128699,0.01570700740985385,96,0.0032,0.0026213931533181547,0.003905819673395392
6.0,30000,282,0.0094,0.008369132821912779,0.010556492405111507,156,0.0052,0.004447066766580686,0.006079633931200841,29,0.0009666666666666667,0.0006731697553504406,0.0013879482820038603
7.0,30000,107,0.0035666666666666668,0.0029526869172214363,0.00430776535252124,43,0.0014333333333333333,0.0010643560093051576,0.0019299758646316727,5,0.00016666666666666666,7.119207237238318e-05,0.00039013081655472567
8.0,30000,28,0.0009333333333333333,0.0006458498191567366,0.0013486100870130984,9,0.0003,0.00015784354185247615,0.000570111871812498,0,0.0,0.0,0.00012803223300477713
